# h00,h01,h02,h10,h11,h12,h20,h21,h22
-3.746652510017156601e-03,-1.187830325216054916e-02,2.367491088807582855e-02,-8.501616120338439941e-02,1.091054007411003113e-01,-6.500010937452316284e-02,-5.731804296374320984e-02,4.438123479485511780e-02,8.834616746753454208e-04
3.971230238676071167e-02,-7.202359265647828579e-04,1.011770963668823242e-02,1.327033899724483490e-02,-7.716515660285949707e-02,-9.781152941286563873e-03,7.474496960639953613e-02,5.754049401730298996e-03,3.181473910808563232e-02
-7.166170328855514526e-02,8.252338320016860962e-02,6.589002162218093872e-02,-4.822984710335731506e-02,1.047735214233398438e-01,6.202731281518936157e-02,-1.752169057726860046e-02,-2.954508876428008080e-03,-4.110318049788475037e-02
-2.554424852132797241e-02,-1.760925352573394775e-02,1.334373559802770615e-02,-8.545970916748046875e-02,1.332313418388366699e-01,-5.674583837389945984e-02,-2.495948923751711845e-03,-8.522497862577438354e-02,1.772910170257091522e-02
-6.127839569103343820e-09,-2.689628519902953485e-09,1.103909497146560170e-08,-6.560335830130270551e-09,1.292943263564438894e-08,1.490878887011604093e-08,-2.724411141130644864e-09,8.796511075104263000e-09,1.248688352717408634e-08
7.652190397493541241e-04,1.311200857162475586e-02,-2.583091333508491516e-02,6.091224774718284607e-02,-4.895735532045364380e-02,4.032637923955917358e-02,1.193499118089675903e-01,3.586051613092422485e-02,4.506738111376762390e-02
2.907889708876609802e-02,-6.592429429292678833e-02,3.271736204624176025e-02,4.604586586356163025e-02,-7.711653411388397217e-02,-2.609655493870377541e-04,-3.930322825908660889e-02,1.568963192403316498e-02,-5.787920579314231873e-02
5.209286231547594070e-03,5.746811628341674805e-02,1.583971455693244934e-02,6.980525702238082886e-02,-1.335418671369552612e-01,1.067573111504316330e-02,-8.879006840288639069e-03,5.972440168261528015e-02,-1.013603061437606812e-02
-2.926402958109974861e-03,-2.325409650802612305e-02,-3.131326520815491676e-03,-2.406455390155315399e-02,-5.283790454268455505e-02,-1.104809995740652084e-02,2.044875919818878174e-02,-4.222147166728973389e-02,-2.200365625321865082e-02
1.317392662167549133e-02,-2.554350160062313080e-02,6.574211269617080688e-02,-5.452417209744453430e-02,2.925582602620124817e-02,-2.711788984015583992e-03,-2.787529118359088898e-02,-1.596914790570735931e-02,1.240058281837264076e-05
1.903818803839385509e-03,-1.051746075972914696e-03,-2.055164054036140442e-02,4.544511437416076660e-03,-2.777701430022716522e-02,-1.146992668509483337e-02,4.566752817481756210e-03,-2.899461425840854645e-03,-9.649620391428470612e-03
3.796967491507530212e-02,-4.993091523647308350e-02,4.063626285642385483e-03,6.134774535894393921e-02,1.300015579909086227e-02,-1.058379304595291615e-03,-6.661599874496459961e-02,4.749207943677902222e-02,-5.749924853444099426e-02
-3.988624364137649536e-02,-1.268531568348407745e-02,-4.344668239355087280e-02,-1.633076816797256470e-01,1.409770399332046509e-01,-1.923955790698528290e-02,-2.054991126060485840e-01,-9.512229822576045990e-03,-4.287785664200782776e-02
-6.359269469976425171e-02,-1.133843287825584412e-01,-3.446538746356964111e-02,-1.164864674210548401e-01,2.419525943696498871e-02,-9.642014279961585999e-03,-4.025138448923826218e-03,9.128641337156295776e-02,-9.290853515267372131e-03
1.388845685869455338e-02,3.107133880257606506e-02,-1.235774368979036808e-03,4.113579168915748596e-02,-9.197905659675598145e-02,-4.392340779304504395e-02,1.912252232432365417e-02,4.130363464355468750e-02,5.366830155253410339e-03
